period_date,cbsa_code,cbsa_title,gdp_millions
2001-01-01,00998,United States (Metropolitan Portion),12683267028
2002-01-01,00998,United States (Metropolitan Portion),12891795481
2003-01-01,00998,United States (Metropolitan Portion),13265790126
2004-01-01,00998,United States (Metropolitan Portion),13794531566
2005-01-01,00998,United States (Metropolitan Portion),14300027093
2006-01-01,00998,United States (Metropolitan Portion),14706457103
2007-01-01,00998,United States (Metropolitan Portion),15024057016
2008-01-01,00998,United States (Metropolitan Portion),15026108266
2009-01-01,00998,United States (Metropolitan Portion),14595743531
2010-01-01,00998,United States (Metropolitan Portion),15002118296
2011-01-01,00998,United States (Metropolitan Portion),15229309333
2012-01-01,00998,United States (Metropolitan Portion),15584714510
2013-01-01,00998,United States (Metropolitan Portion),15898170419
2014-01-01,00998,United States (Metropolitan Portion),16310562342
2015-01-01,00998,United States (Metropolitan Portion),16826288856
2016-01-01,00998,United States (Metropolitan Portion),17154930168
2017-01-01,00998,United States (Metropolitan Portion),17619114703
2018-01-01,00998,United States (Metropolitan Portion),18160699656
2019-01-01,00998,United States (Metropolitan Portion),18642485171
2020-01-01,00998,United States (Metropolitan Portion),18238881803
2021-01-01,00998,United States (Metropolitan Portion),19387630694
2022-01-01,00998,United States (Metropolitan Portion),19896599724
2023-01-01,00998,United States (Metropolitan Portion),20436284297
2011-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",6537181
2012-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",6732935
2013-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",6834707
2014-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",6955561
2015-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",6827936
2016-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",6686943
2017-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",6827152
2018-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",7141273
2019-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",7455255
2020-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",7387697
2021-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",7603626
2022-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",8006032
2023-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",8270864
2001-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",5286630
2002-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",5342042
2003-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",5438921
2004-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",5565831
2005-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",5692062
2006-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",6126025
2007-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",6338833
2008-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",6397914
2009-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",6249007
2010-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",6487399
2001-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",30570431
2002-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",31915076
2003-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",33064642
2004-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",33703560
