period_date,cbsa_code,cbsa_title,rpp_all_items
2018-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",76.751
2017-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",76.717
2016-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",70.996
2015-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",69.747
2014-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",76.866
2013-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",69.941
2012-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",74.573
2011-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",70.347
2010-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",72.237
2009-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",63.982
2008-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",69.649
2024-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",73.791
2023-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",73.631
2022-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",75.389
2021-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",71.042
2020-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",66.340
2019-01-01,10180,"Abilene, TX (Metropolitan Statistical Area)",75.659
2019-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",80.861
2018-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",81.407
2017-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",82.899
2016-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",82.327
2015-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",83.327
2014-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",77.734
2013-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",83.096
2012-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",84.139
2011-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",80.452
2010-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",80.822
2009-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",82.793
2008-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",84.900
2024-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",76.785
2023-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",77.456
2022-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",76.581
2021-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",80.339
2020-01-01,10420,"Akron, OH (Metropolitan Statistical Area)",81.774
2018-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",51.303
2017-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",51.985
2016-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",54.081
2015-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",52.893
2014-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",53.775
2013-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",54.823
2012-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",52.157
2011-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",53.791
2010-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",52.874
2009-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",53.215
2008-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",50.703
2024-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",54.626
2023-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",50.046
2022-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",50.375
2021-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",56.503
2020-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",49.984
2019-01-01,10500,"Albany, GA (Metropolitan Statistical Area)",47.982
2019-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",104.894
2018-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",102.129
2017-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",93.068
2016-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",98.351
2015-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",91.420
2014-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",101.912
2013-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",93.454
2012-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",95.021
2011-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",86.584
2010-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",93.064
2009-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",104.561
2008-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",91.898
2024-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",101.059
2023-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",108.588
2022-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",98.984
2021-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",101.272
2020-01-01,10540,"Albany, OR (Metropolitan Statistical Area)",106.237
2018-01-01,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",101.482
2017-01-01,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",94.297
2016-01-01,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",101.860
2015-01-01,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",98.829
2014-01-01,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",104.966
2013-01-01,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",108.512
2012-01-01,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",100.504
2011-01-01,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",106.353
2010-01-01,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",96.822
2009-01-01,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",101.238
2008-01-01,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",104.627
