period_date,state_fips,state_name,rpp_all_items
2019-01-01,01,Alabama,96.859
2018-01-01,01,Alabama,95.933
2017-01-01,01,Alabama,98.995
2016-01-01,01,Alabama,100.582
2015-01-01,01,Alabama,100.041
2014-01-01,01,Alabama,99.939
2013-01-01,01,Alabama,99.949
2012-01-01,01,Alabama,100.783
2011-01-01,01,Alabama,99.760
2010-01-01,01,Alabama,98.430
2009-01-01,01,Alabama,96.689
2008-01-01,01,Alabama,97.757
2024-01-01,01,Alabama,96.711
2023-01-01,01,Alabama,98.178
2022-01-01,01,Alabama,97.131
2021-01-01,01,Alabama,96.148
2020-01-01,01,Alabama,96.477
2018-01-01,02,Alaska,104.399
2017-01-01,02,Alaska,101.755
2016-01-01,02,Alaska,100.713
2015-01-01,02,Alaska,99.812
2014-01-01,02,Alaska,100.170
2013-01-01,02,Alaska,99.551
2012-01-01,02,Alaska,99.530
2011-01-01,02,Alaska,101.223
2010-01-01,02,Alaska,99.919
2009-01-01,02,Alaska,103.420
2008-01-01,02,Alaska,102.853
2024-01-01,02,Alaska,102.208
2023-01-01,02,Alaska,104.417
2022-01-01,02,Alaska,101.401
2021-01-01,02,Alaska,102.606
2020-01-01,02,Alaska,103.822
2019-01-01,02,Alaska,103.886
2019-01-01,04,Arizona,100.848
2018-01-01,04,Arizona,99.392
2017-01-01,04,Arizona,99.881
2016-01-01,04,Arizona,101.545
2015-01-01,04,Arizona,98.670
2014-01-01,04,Arizona,99.873
2013-01-01,04,Arizona,100.928
2012-01-01,04,Arizona,98.828
2011-01-01,04,Arizona,100.535
2010-01-01,04,Arizona,102.121
2009-01-01,04,Arizona,102.100
2008-01-01,04,Arizona,102.292
2024-01-01,04,Arizona,102.808
2023-01-01,04,Arizona,101.173
2022-01-01,04,Arizona,100.099
2021-01-01,04,Arizona,96.409
2020-01-01,04,Arizona,99.676
2018-01-01,05,Arkansas,97.886
2017-01-01,05,Arkansas,98.140
2016-01-01,05,Arkansas,99.539
2015-01-01,05,Arkansas,99.540
2014-01-01,05,Arkansas,99.863
2013-01-01,05,Arkansas,99.773
2012-01-01,05,Arkansas,100.078
2011-01-01,05,Arkansas,98.897
2010-01-01,05,Arkansas,97.368
2009-01-01,05,Arkansas,95.845
2008-01-01,05,Arkansas,97.122
2024-01-01,05,Arkansas,95.312
2023-01-01,05,Arkansas,95.701
2022-01-01,05,Arkansas,95.950
2021-01-01,05,Arkansas,97.176
2020-01-01,05,Arkansas,99.408
2019-01-01,05,Arkansas,97.245
2019-01-01,06,California,102.444
2018-01-01,06,California,104.265
2017-01-01,06,California,103.260
2016-01-01,06,California,101.909
2015-01-01,06,California,102.750
2014-01-01,06,California,101.899
2013-01-01,06,California,101.796
2012-01-01,06,California,101.945
2011-01-01,06,California,101.604
2010-01-01,06,California,101.665
2009-01-01,06,California,101.998
2008-01-01,06,California,101.932
2024-01-01,06,California,102.591
2023-01-01,06,California,104.384
2022-01-01,06,California,103.856
2021-01-01,06,California,102.110
2020-01-01,06,California,101.934
2018-01-01,08,Colorado,95.304
2017-01-01,08,Colorado,98.760
2016-01-01,08,Colorado,98.534
2015-01-01,08,Colorado,99.814
2014-01-01,08,Colorado,100.041
2013-01-01,08,Colorado,101.030
2012-01-01,08,Colorado,101.397
2011-01-01,08,Colorado,100.351
2010-01-01,08,Colorado,97.526
2009-01-01,08,Colorado,100.494
2008-01-01,08,Colorado,100.901
2024-01-01,08,Colorado,99.613
2023-01-01,08,Colorado,96.461
2022-01-01,08,Colorado,96.139
2021-01-01,08,Colorado,96.748
2020-01-01,08,Colorado,97.826
2019-01-01,08,Colorado,95.907
2019-01-01,09,Connecticut,102.250
2018-01-01,09,Connecticut,100.150
2017-01-01,09,Connecticut,104.394
2016-01-01,09,Connecticut,104.028
2015-01-01,09,Connecticut,103.319
2014-01-01,09,Connecticut,103.196
2013-01-01,09,Connecticut,103.589
2012-01-01,09,Connecticut,102.687
2011-01-01,09,Connecticut,103.945
2010-01-01,09,Connecticut,102.276
2009-01-01,09,Connecticut,104.095
2008-01-01,09,Connecticut,104.566
2024-01-01,09,Connecticut,102.658
2023-01-01,09,Connecticut,102.979
2022-01-01,09,Connecticut,104.940
2021-01-01,09,Connecticut,100.845
2020-01-01,09,Connecticut,102.440
2018-01-01,10,Delaware,100.805
2017-01-01,10,Delaware,100.859
2016-01-01,10,Delaware,99.472
2015-01-01,10,Delaware,98.975
2014-01-01,10,Delaware,100.980
2013-01-01,10,Delaware,98.938
2012-01-01,10,Delaware,99.288
2011-01-01,10,Delaware,99.000
2010-01-01,10,Delaware,101.476
