year,place_fips,place_name,state_fips,state_name,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income
2023,0600135,Acalanes Ridge CDP,06,California,1025,53.0,172667,67394,422,306,116,72.51,1574600,3501,24.9
2023,0600156,Acampo CDP,06,California,278,31.7,-666666666,35447,133,44,89,33.08,-666666666,-666666666,-666666666.0
2023,0600212,Acton CDP,06,California,7721,45.7,110000,46814,2887,2534,146,94.55,695300,1755,36.7
2023,0600296,Adelanto city,06,California,38010,28.8,68419,19480,9756,5572,3620,60.62,318300,1389,36.0
2023,0600310,Adin CDP,06,California,91,71.3,36250,19289,58,36,0,100.00,221900,-666666666,-666666666.0
2023,0600394,Agoura Hills city,06,California,19881,46.7,171944,78264,7486,5663,1415,80.01,1072200,3094,32.8
2023,0600450,Agua Dulce CDP,06,California,2768,57.3,124268,60482,1207,1008,116,89.68,907600,3406,51.0
2023,0600464,Aguanga CDP,06,California,756,51.5,-666666666,43716,423,224,84,72.73,-666666666,-666666666,-666666666.0
2023,0600478,Ahwahnee CDP,06,California,1532,66.3,65980,42758,835,529,162,76.56,448000,1617,36.8
2023,0600535,Airport CDP,06,California,1258,31.2,42000,19128,357,104,232,30.95,333300,1150,51.0
2023,0600562,Alameda city,06,California,76876,40.7,132015,72245,32129,14616,15194,49.03,1203900,2394,27.4
2023,0600618,Alamo CDP,06,California,14441,50.8,250001,144575,5360,4757,392,92.39,2000001,3501,32.3
2023,0600674,Albany city,06,California,19768,37.8,135927,72518,8000,4114,3559,53.62,1188600,2389,27.9
2023,0600716,Albion CDP,06,California,214,56.3,-666666666,12967,167,65,35,65.00,-666666666,-666666666,-666666666.0
2023,0600786,Alderpoint CDP,06,California,62,-666666666.0,-666666666,-666666666,32,32,0,100.00,-666666666,-666666666,-666666666.0
2023,0600884,Alhambra city,06,California,81483,41.9,85189,42036,32130,12652,17440,42.04,812700,1852,31.8
2023,0600898,Alhambra Valley CDP,06,California,937,44.4,202024,69199,318,292,26,91.82,1190700,-666666666,-666666666.0
2023,0600947,Aliso Viejo city,06,California,51320,38.6,137970,64689,20370,10983,8438,56.55,863800,2774,32.2
2023,0600982,Alleghany CDP,06,California,35,-666666666.0,-666666666,,18,18,0,100.00,-666666666,-666666666,-666666666.0
2023,0600996,Allendale CDP,06,California,1915,50.9,110284,56685,660,482,151,76.15,1001500,3086,31.4
2023,0601010,Allensworth CDP,06,California,443,27.1,61250,14469,112,62,43,59.05,158300,1048,18.8
2023,0601094,Almanor CDP,06,California,0,-666666666.0,-666666666,-666666666,130,0,0,NaN,-666666666,-666666666,-666666666.0
2023,0601150,Alondra Park CDP,06,California,8262,39.8,86064,35909,2858,1521,1205,55.80,791800,1770,32.7
2023,0601164,Alpaugh CDP,06,California,853,23.1,42917,12404,219,65,127,33.85,92900,1038,36.9
2023,0601192,Alpine CDP,06,California,15470,42.8,111723,48125,5641,4004,1439,73.56,810000,2025,33.7
2023,0601228,Alpine Village CDP,06,California,195,56.8,72500,61734,135,65,25,72.22,479200,2125,23.3
2023,0601276,Alta CDP,06,California,740,46.8,94718,74590,390,265,28,90.44,468200,-666666666,41.7
2023,0601290,Altadena CDP,06,California,41921,46.2,129123,65192,15744,11756,3262,78.28,1073500,2250,33.0
2023,0601358,Alta Sierra CDP (Kern County),06,California,13,-666666666.0,-666666666,,320,13,0,100.00,-666666666,-666666666,-666666666.0
2023,0601360,Alta Sierra CDP (Nevada County),06,California,7061,55.4,99576,49657,3052,2523,397,86.40,560600,2033,35.6
2023,0601416,Alto CDP,06,California,866,45.4,-666666666,118893,402,179,213,45.66,2000001,-666666666,26.6
2023,0601444,Alturas city,06,California,2703,45.2,54634,31725,1384,746,366,67.09,152600,781,39.2
2023,0601458,Alum Rock CDP,06,California,11619,40.3,111976,34255,3145,2046,859,70.43,880000,2412,36.2
2023,0601514,Amador City city,06,California,222,39.2,69844,54845,130,47,60,43.93,356300,1625,18.8
2023,0601518,Amador Pines CDP,06,California,960,60.9,85875,54011,832,440,45,90.72,340800,-666666666,-666666666.0
2023,0601640,American Canyon city,06,California,21698,36.2,123935,43301,6055,4592,1305,77.87,660100,2399,34.2
2023,0601651,Amesti CDP,06,California,2905,38.7,102083,41683,880,722,158,82.05,825100,1889,51.0
