year,fips_code,county_name,state_fips,state_name,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income
2023,10001,Kent County,10,Delaware,185043,38.5,72872,34640,74997,49719,20334,70.97,290600,1285,31.6
2023,10003,New Castle County,10,Delaware,573030,39.2,89901,46990,235057,152742,70201,68.51,329800,1379,28.7
2023,10005,Sussex County,10,Delaware,247799,51.4,78162,44963,147904,83879,19334,81.27,353300,1221,31.8
2023,11001,District of Columbia,11,District of Columbia,672079,34.9,106287,75253,356101,132288,189268,41.14,724600,1900,28.5
2023,12001,Alachua County,12,Florida,281751,32.2,59659,37981,125702,60974,51802,54.07,266800,1255,37.9
2023,12003,Baker County,12,Florida,28186,38.1,70833,29167,10013,7498,1514,83.20,225000,1011,31.8
2023,12005,Bay County,12,Florida,181368,41.4,70188,38856,106209,51976,24142,68.28,276900,1424,32.8
2023,12007,Bradford County,12,Florida,27888,40.5,59740,25603,10826,6451,2653,70.86,180300,838,34.7
2023,12009,Brevard County,12,Florida,620533,46.8,75817,42738,294461,193755,58134,76.92,304400,1456,32.2
2023,12011,Broward County,12,Florida,1946127,41.3,74534,41910,863128,474052,275320,63.26,380400,1804,37.5
2023,12013,Calhoun County,12,Florida,13593,41.8,46901,22965,5663,3556,1069,76.89,134000,680,33.3
2023,12015,Charlotte County,12,Florida,195083,60.0,66154,40603,114821,72670,14706,83.17,291000,1289,35.2
2023,12017,Citrus County,12,Florida,158693,56.9,55355,35586,83417,59129,10572,84.83,223200,1069,33.0
2023,12019,Clay County,12,Florida,223436,40.2,86094,39166,87165,62335,19422,76.24,281500,1464,29.9
2023,12021,Collier County,12,Florida,387681,53.1,86173,59973,234732,122225,38642,75.98,486800,1752,36.5
2023,12023,Columbia County,12,Florida,70755,40.7,55070,28030,30066,18938,7782,70.88,186400,915,29.3
2023,12027,DeSoto County,12,Florida,34719,42.8,50868,24462,15713,9025,3631,71.31,151500,910,30.5
2023,12029,Dixie County,12,Florida,16952,45.8,47655,21699,9365,5139,991,83.83,96900,792,22.9
2023,12031,Duval County,12,Florida,1007189,36.7,68447,38827,445946,235245,169894,58.07,274900,1385,32.0
2023,12033,Escambia County,12,Florida,323275,38.1,65715,35745,147678,82106,46186,64.00,234200,1234,31.1
2023,12035,Flagler County,12,Florida,121710,52.6,72923,43100,58520,41003,9293,81.52,333400,1687,35.8
2023,12037,Franklin County,12,Florida,12418,49.2,62734,33893,8476,3798,1120,77.23,254300,1044,30.5
2023,12039,Gadsden County,12,Florida,43642,42.0,46047,23206,19100,12023,4462,72.93,154700,792,31.0
2023,12041,Gilchrist County,12,Florida,18494,42.7,61070,33507,7697,5787,1126,83.71,191000,855,19.5
2023,12043,Glades County,12,Florida,12324,45.8,38905,25697,6612,3634,926,79.69,114800,927,42.1
2023,12045,Gulf County,12,Florida,14772,47.3,67361,38258,9142,4655,1145,80.26,235700,1161,40.3
2023,12047,Hamilton County,12,Florida,13445,40.6,47696,18104,5638,3265,1095,74.89,110400,819,30.8
2023,12049,Hardee County,12,Florida,25508,35.9,54231,26225,9884,5821,2327,71.44,129400,954,34.1
2023,12051,Hendry County,12,Florida,40798,35.7,53044,26234,15639,10091,3853,72.37,189700,958,33.0
2023,12053,Hernando County,12,Florida,201512,48.1,63193,33079,90991,65905,14639,81.82,240700,1209,32.2
2023,12055,Highlands County,12,Florida,103808,54.2,55581,32982,58086,36257,9686,78.92,177900,980,31.4
2023,12057,Hillsborough County,12,Florida,1489634,37.8,75011,41980,618220,348066,221932,61.06,333300,1543,32.9
2023,12059,Holmes County,12,Florida,19626,42.4,48236,24505,8642,5438,1649,76.73,101400,823,26.8
2023,12061,Indian River County,12,Florida,163856,55.0,71049,46273,85093,54497,14199,79.33,314700,1284,34.2
2023,12063,Jackson County,12,Florida,47652,42.9,47327,23718,20061,12698,4340,74.53,113900,846,32.4
2023,12065,Jefferson County,12,Florida,14713,47.0,56984,30472,6815,4262,1413,75.10,198800,790,30.9
2023,12067,Lafayette County,12,Florida,8035,41.8,60692,22165,3334,2132,487,81.41,131600,880,19.9
2023,12069,Lake County,12,Florida,398696,46.7,69956,36956,182666,122233,37241,76.65,287900,1468,33.3
2023,12071,Lee County,12,Florida,792692,49.3,73099,43365,430243,236433,83155,73.98,326300,1597,34.4
