year,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income,population_yoy,income_yoy
2023,332387540,38.7,78538,43289,142332876,82892037,44590828,65.02,303400,1348,30.2,0.39,4.51
2022,331097593,38.5,75149,41261,140943613,81497760,44238593,64.82,281900,1268,30.0,0.42,8.88
2021,329725481,38.4,69021,37638,139647020,80152161,43858831,64.63,244900,1163,29.8,0.97,6.20
2020,326569308,38.2,64994,35384,138432751,78801376,43552843,64.40,229800,1096,29.6,0.58,3.42
2019,324697795,38.1,62843,34103,137428986,77274381,43481667,63.99,217500,1062,29.8,0.56,4.23
2018,322903030,37.9,60293,32621,136384292,76444810,43285318,63.85,204900,1023,30.1,0.59,4.58
2017,321004407,37.8,57652,31177,135393564,75833135,42992786,63.82,193500,982,30.3,0.77,4.21
2016,318558162,37.7,55322,29829,134054899,74881068,42835169,63.61,184700,949,30.6,0.65,2.66
2015,316515021,37.6,53889,28930,133351840,74712091,42214214,63.90,178600,928,31.0,0.77,0.76
2014,314107084,37.4,53482,28555,132741033,74787460,41423632,64.35,175700,920,31.3,0.83,0.82
2013,311536594,37.3,53046,28155,132057804,75075700,40534516,64.94,176700,904,31.3,0.78,0.00
2012,309138711,37.2,53046,28051,131642457,75484661,39742141,65.51,181400,889,31.1,0.83,0.54
2011,306603772,37.0,52762,27915,131034946,75896759,38864600,66.13,186200,871,30.9,0.87,1.63
2010,303965272,36.9,51914,27334,130038080,76089650,38146346,66.61,188400,841,30.5,,
