year,state_fips,state_name,state_abbrev,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income
2023,01,Alabama,AL,5054253,39.3,62027,34835,2316192,1377062,592043,69.93,195100,963,29.4
2023,02,Alaska,AK,733971,35.6,89336,44928,327610,178369,89496,66.59,333300,1388,28.2
2023,04,Arizona,AZ,7268175,38.8,76872,40736,3142443,1873231,923559,66.98,358900,1431,30.2
2023,05,Arkansas,AR,3032651,38.4,58773,33147,1382664,786534,402626,66.14,175300,914,27.6
2023,06,California,CA,39242785,37.6,96334,47977,14532683,7494811,5940036,55.79,695400,1956,32.5
2023,08,Colorado,CO,5810774,37.5,92470,50489,2545124,1542215,783361,66.32,502200,1693,31.1
2023,09,Connecticut,CT,3598348,41.2,93760,54409,1536049,939912,480258,66.18,343200,1431,30.7
2023,10,Delaware,DE,1005872,41.5,82855,44219,457958,286340,109869,72.27,326800,1341,29.6
2023,11,District of Columbia,DC,672079,34.9,106287,75253,356101,132288,189268,41.14,724600,1900,28.5
2023,12,Florida,FL,21928881,42.6,71711,41055,10082356,5756809,2794102,67.32,325000,1564,34.5
2023,13,Georgia,GA,10822590,37.4,74664,39525,4483873,2619529,1388484,65.36,272900,1306,30.8
2023,15,Hawaii,HI,1445635,40.6,98317,44823,564905,305869,183122,62.55,808200,1938,33.1
2023,16,Idaho,ID,1893296,37.1,74636,37169,776683,502140,191681,72.37,376000,1150,28.4
2023,17,Illinois,IL,12692653,38.9,81702,45104,5443501,3343034,1658870,66.84,250500,1227,28.8
2023,18,Indiana,IN,6811752,38.0,70051,37178,2953344,1886485,795052,70.35,201600,1020,28.9
2023,19,Iowa,IA,3195937,38.6,73147,39728,1427175,932618,371145,71.53,195900,949,27.2
2023,20,Kansas,KS,2937569,37.2,72639,39638,1285221,776311,384404,66.88,203400,1029,27.0
2023,21,Kentucky,KY,4510725,39.1,62417,34960,2010655,1223574,568417,68.28,192300,933,27.8
2023,22,Louisiana,LA,4621025,37.8,60023,34211,2094002,1200407,582761,67.32,208700,1038,32.3
2023,23,Maine,ME,1377400,44.8,71773,42035,746552,436029,153056,74.02,266400,1084,28.9
2023,24,Maryland,MD,6170738,39.3,101652,51689,2545532,1578702,760808,67.48,397700,1662,30.6
2023,25,Massachusetts,MA,6992395,40.0,101341,56284,3014657,1728986,1033084,62.60,525800,1687,30.5
2023,26,Michigan,MI,10051595,40.1,71149,39538,4599683,2946157,1094011,72.92,217600,1084,29.8
2023,27,Minnesota,MN,5713716,38.6,87556,46957,2519538,1652534,630433,72.39,305500,1235,28.9
2023,28,Mississippi,MS,2951438,38.4,54915,30529,1332811,786289,345471,69.47,161400,923,30.3
2023,29,Missouri,MO,6168181,38.9,68920,38497,2809501,1688072,796762,67.94,215600,996,27.9
2023,30,Montana,MT,1105072,40.2,69922,39842,522939,314266,138417,69.42,338100,1031,28.0
2023,31,Nebraska,NE,1965926,37.1,74985,40637,855631,523603,263282,66.54,223800,1035,27.4
2023,32,Nevada,NV,3141000,38.9,75561,39963,1307338,701914,481479,59.31,406100,1489,32.3
2023,33,New Hampshire,NH,1387834,43.2,95628,50867,644253,399663,151523,72.51,367200,1423,29.2
2023,34,New Jersey,NJ,9267014,40.1,101050,53118,3775842,2215482,1262873,63.69,427600,1653,30.4
2023,35,New Mexico,NM,2114768,39.2,62125,34823,949524,572064,252957,69.34,232200,1021,29.8
2023,36,New York,NY,19872319,39.6,84578,49520,8539536,4164793,3504163,54.31,403000,1576,30.9
2023,37,North Carolina,NC,10584340,39.1,69904,39616,4815195,2778672,1408252,66.37,259400,1162,29.0
2023,38,North Dakota,ND,779361,35.7,75949,42474,374866,206123,118956,63.41,241100,934,24.8
