year,zcta,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income
2023,00601,16721,44.8,18571,9933,7356,3902,1709,69.54,89500,414,28.9
2023,00602,37510,46.0,21702,12478,17210,9443,3103,75.27,108200,465,27.0
2023,00603,48317,45.6,19243,14099,25262,11148,8389,57.06,141800,448,28.4
2023,00606,5435,48.7,20226,10501,2685,1438,433,76.86,100700,405,14.6
2023,00610,25413,45.2,23732,14055,12174,6415,2423,72.58,113600,553,27.5
2023,00611,1522,52.1,22566,14745,704,393,218,64.32,100300,471,29.9
2023,00612,62462,44.7,23831,14712,30340,14335,9103,61.16,112300,503,27.0
2023,00616,9836,48.1,21391,12182,4555,2424,1047,69.84,102700,623,24.6
2023,00617,22699,42.5,22010,14401,10226,6108,2471,71.20,121400,625,40.7
2023,00622,7950,48.7,26682,16479,7586,2320,821,73.86,115400,609,36.3
2023,00623,39005,46.3,25614,15762,20508,11678,3353,77.69,118200,576,33.2
2023,00624,21374,40.3,21091,12171,9120,5023,2278,68.80,88100,530,29.0
2023,00627,32753,45.1,26094,14617,14213,9065,2749,76.73,105500,574,29.6
2023,00631,1357,47.3,18295,9525,613,295,182,61.84,102900,336,18.6
2023,00636,1071,32.4,-666666666,5732,271,126,145,46.49,131700,385,28.6
2023,00637,22884,45.3,20665,13994,11140,5754,1801,76.16,99200,445,30.5
2023,00638,17410,45.9,20878,10067,7689,4200,1724,70.90,94500,404,28.9
2023,00641,23962,46.3,17839,10751,11295,5510,3437,61.58,101900,464,25.1
2023,00646,36099,42.6,33184,22410,16014,9636,2544,79.11,156900,688,25.2
2023,00647,4611,46.6,20357,10297,3282,1407,437,76.30,87500,433,40.9
2023,00650,13457,41.1,19811,10597,5982,3632,1628,69.05,104100,662,33.1
2023,00652,4492,43.5,31653,15723,1839,1217,366,76.88,128500,733,29.5
2023,00653,8665,45.2,15225,9383,5771,2569,1180,68.52,80400,326,30.8
