period_date,cbsa_code,cbsa_title,unemployment_rate,unemployment_rate_yoy,total_nonfarm_employment,employment_yoy,gdp_millions,gdp_yoy,rpp_all_items
2025-11-01,10180,"Abilene, TX (Metropolitan Statistical Area)",3.5,0.1,,,,,
2025-11-01,10420,"Akron, OH (Metropolitan Statistical Area)",4.1,-0.2,,,,,
2025-11-01,10500,"Albany, GA (Metropolitan Statistical Area)",4.8,0.8,,,,,
2025-11-01,10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",5.1,0.7,,,,,
2025-11-01,10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3.4,0.4,,,,,
2025-11-01,10740,"Albuquerque, NM (Metropolitan Statistical Area)",4.4,0.4,,,,,
2025-11-01,10780,"Alexandria, LA (Metropolitan Statistical Area)",4,-0.2,,,,,
2025-11-01,10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",4,0.4,,,,,
2025-11-01,11020,"Altoona, PA (Metropolitan Statistical Area)",3.6,0.5,,,,,
2025-11-01,11100,"Amarillo, TX (Metropolitan Statistical Area)",3.1,0,,,,,
2025-11-01,11180,"Ames, IA (Metropolitan Statistical Area)",2.5,0,,,,,
2025-11-01,11260,"Anchorage, AK (Metropolitan Statistical Area)",4.4,0.2,,,,,
2025-11-01,11460,"Ann Arbor, MI (Metropolitan Statistical Area)",4,0.3,,,,,
2025-11-01,11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3,-0.5,,,,,
2025-11-01,11540,"Appleton, WI (Metropolitan Statistical Area)",2.3,0.1,,,,,
2025-11-01,11700,"Asheville, NC (Metropolitan Statistical Area)",4,-2.5,,,,,
2025-11-01,12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",3.7,0.8,,,,,
2025-11-01,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",3.9,0.5,,,,,
2025-11-01,12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",7.2,0.8,,,,,
2025-11-01,12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2.4,-0.7,,,,,
2025-11-01,12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",4.9,0.5,,,,,
2025-11-01,12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",3.5,0,,,,,
2025-11-01,12540,"Bakersfield, CA (Metropolitan Statistical Area)",7.8,-0.2,,,,,
2025-11-01,12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",4.6,1.5,,,,,
2025-11-01,12620,"Bangor, ME (Metropolitan Statistical Area)",3.6,-0.3,,,,,
2025-11-01,12700,"Barnstable Town, MA (Metropolitan Statistical Area)",5.3,0.8,,,,,
2025-11-01,12940,"Baton Rouge, LA (Metropolitan Statistical Area)",3.9,-0.2,,,,,
2025-11-01,12980,"Battle Creek, MI (Metropolitan Statistical Area)",5.1,0.1,,,,,
2025-11-01,13020,"Bay City, MI (Metropolitan Statistical Area)",5.2,0.1,,,,,
2025-11-01,13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",5.4,0.1,,,,,
2025-11-01,13220,"Beckley, WV (Metropolitan Statistical Area)",5.1,1.5,,,,,
2025-11-01,13380,"Bellingham, WA (Metropolitan Statistical Area)",4.6,0.1,,,,,
2025-11-01,13460,"Bend, OR (Metropolitan Statistical Area)",4.7,0.7,,,,,
2025-11-01,13740,"Billings, MT (Metropolitan Statistical Area)",3.1,0.7,,,,,
2025-11-01,13780,"Binghamton, NY (Metropolitan Statistical Area)",4,0.5,,,,,
2025-11-01,13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",2.5,-0.6,,,,,
2025-11-01,13900,"Bismarck, ND (Metropolitan Statistical Area)",2.2,0.2,,,,,
2025-11-01,13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",3.9,0.9,,,,,
2025-11-01,14010,"Bloomington, IL (Metropolitan Statistical Area)",4,0.5,,,,,
2025-11-01,14020,"Bloomington, IN (Metropolitan Statistical Area)",2.9,-0.9,,,,,
2025-11-01,14260,"Boise City, ID (Metropolitan Statistical Area)",3.2,-0.3,,,,,
2025-11-01,14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",4.4,0.7,2771800,-0.32,,,
2025-11-01,14500,"Boulder, CO (Metropolitan Statistical Area) *",3.4,-1.2,,,,,
2025-11-01,14540,"Bowling Green, KY (Metropolitan Statistical Area)",4.2,-0.5,,,,,
2025-11-01,14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",4.5,0.1,,,,,
2025-11-01,14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",4,1.2,,,,,
2025-11-01,15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",6.6,1.5,,,,,
2025-11-01,15260,"Brunswick, GA (Metropolitan Statistical Area)",3.6,0.5,,,,,
2025-11-01,15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",4.1,0.5,,,,,
2025-11-01,15500,"Burlington, NC (Metropolitan Statistical Area)",4.1,0.6,,,,,
2025-11-01,15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",2.4,0.1,,,,,
