period_date,unemployment_rate,unemployment_rate_yoy,total_nonfarm_employment,employment_yoy
2025-12-01,4.4,0.3,159526000,0.37
2025-11-01,4.5,0.3,159476000,0.54
2025-10-01,,,159420000,0.67
2025-09-01,4.4,0.3,159593000,0.81
2025-08-01,4.3,0.1,159485000,0.89
2025-07-01,4.3,0.1,159511000,0.95
2025-06-01,4.1,0,159439000,0.97
2025-05-01,4.3,0.4,159452000,1.03
2025-04-01,4.2,0.3,159433000,1.14
2025-03-01,4.2,,159275000,
2025-02-01,4.2,0.3,159155000,1.2
2025-01-01,4,0.3,159053000,1.28
2024-12-01,4.1,0.3,158942000,1.28
2024-11-01,4.2,0.5,158619000,1.25
2024-10-01,4.1,0.2,158358000,1.17
2024-09-01,4.1,0.4,158314000,1.27
2024-08-01,4.2,0.5,158074000,1.22
2024-07-01,4.2,0.7,158003000,1.27
2024-06-01,4.1,0.5,157915000,1.31
2024-05-01,3.9,0.3,157828000,1.42
2024-04-01,3.9,0.5,157635000,1.45
2024-03-01,3.9,,157517000,
2024-02-01,3.9,0.3,157271000,1.41
2024-01-01,3.7,0.2,157049000,1.47
2023-12-01,3.8,0.3,156930000,1.68
2023-11-01,3.7,0.1,156661000,1.59
2023-10-01,3.9,0.3,156520000,1.69
2023-09-01,3.7,0.2,156334000,1.84
2023-08-01,3.7,0.1,156176000,1.89
2023-07-01,3.5,0,156019000,1.94
2023-06-01,3.6,0,155871000,2.31
2023-05-01,3.6,0,155614000,2.45
2023-04-01,3.4,-0.3,155387000,2.46
2023-03-01,3.5,-0.2,155171000,2.53
2023-02-01,3.6,-0.3,155086000,2.79
2023-01-01,3.5,-0.5,154780000,3.18
2022-12-01,3.5,-0.4,154336000,3.04
2022-11-01,3.6,-0.5,154210000,3.35
2022-10-01,3.6,-0.9,153913000,3.6
2022-09-01,3.5,-1.2,153513000,3.93
2022-08-01,3.6,-1.5,153286000,4.1
2022-07-01,3.5,-1.9,153049000,4.29
2022-06-01,3.6,-2.3,152353000,4.47
2022-05-01,3.6,-2.2,151892000,4.73
2022-04-01,3.7,-2.4,151651000,4.87
2022-03-01,3.7,-2.4,151346000,4.92
2022-02-01,3.9,-2.3,150875000,5.2
2022-01-01,4,-2.4,150006000,4.96
2021-12-01,3.9,-2.8,149781000,5.07
2021-11-01,4.1,-2.6,149206000,4.54
2021-10-01,4.5,-2.4,148569000,4.29
2021-09-01,4.7,-3.1,147712000,4.19
2021-08-01,5.1,-3.3,147246000,4.56
2021-07-01,5.4,-4.8,146759000,5.39
2021-06-01,5.9,-5.1,145828000,5.92
2021-05-01,5.8,-7.4,145032000,9.01
2021-04-01,6.1,-8.7,144611000,10.88
2021-03-01,6.1,,144246000,
2021-02-01,6.2,2.7,143422000,-5.82
2021-01-01,6.4,2.8,142913000,-6
2020-12-01,6.7,3.1,142548000,-6.09
2020-11-01,6.7,3.1,142731000,-5.89
2020-10-01,6.9,3.3,142461000,-5.94
2020-09-01,7.8,4.3,141770000,-6.34
2020-08-01,8.4,4.8,140819000,-6.85
2020-07-01,10.2,6.5,139255000,-7.74
2020-06-01,11,7.4,137671000,-8.73
2020-05-01,13.2,9.6,133040000,-11.67
2020-04-01,14.8,11.1,130424000,-13.39
2020-03-01,4.4,,150895000,
2020-02-01,3.5,-0.3,152292000,1.48
2020-01-01,3.6,-0.4,152031000,1.31
2019-12-01,3.6,-0.3,151795000,1.33
2019-11-01,3.6,-0.2,151668000,1.37
2019-10-01,3.6,-0.2,151460000,1.29
2019-09-01,3.5,-0.2,151365000,1.34
2019-08-01,3.6,-0.2,151171000,1.27
2019-07-01,3.7,-0.1,150936000,1.29
2019-06-01,3.6,-0.4,150839000,1.26
