period_date,state_fips,state_name,state_abbrev,unemployment_rate,unemployment_rate_yoy,total_nonfarm_employment,employment_yoy,gdp_millions,real_gdp_millions,gdp_yoy,rpp_all_items
2025-11-01,01,Alabama,AL,2.7,-0.6,2211300,0.65,,,,
2025-11-01,02,Alaska,AK,4.7,0,338500,-0.12,,,,
2025-11-01,04,Arizona,AZ,4.3,0.4,3257500,0.74,,,,
2025-11-01,05,Arkansas,AR,4.1,0.5,1392800,1.29,,,,
2025-11-01,10,Delaware,DE,4.9,1.3,494000,0.73,,,,
2025-11-01,11,District of Columbia,DC,6.5,1.2,739200,-4.25,,,,
2025-11-01,12,Florida,FL,4.2,0.7,10047900,0.76,,,,
2025-11-01,13,Georgia,GA,3.5,-0.1,4987500,0.33,,,,
2025-11-01,15,Hawaii,HI,2.2,-0.8,653600,1.62,,,,
2025-11-01,16,Idaho,ID,3.7,-0.1,884600,1.34,,,,
2025-11-01,17,Illinois,IL,4.4,-0.5,6145600,-0.05,,,,
2025-11-01,18,Indiana,IN,3.7,-0.7,3286000,0.58,,,,
2025-11-01,19,Iowa,IA,3.5,0.2,1599800,0.57,,,,
2025-11-01,20,Kansas,KS,3.8,0,1462700,0.24,,,,
2025-11-01,21,Kentucky,KY,4.7,-0.7,2052699.9999999998,0.51,,,,
2025-11-01,22,Louisiana,LA,4.3,-0.3,2005300,0.74,,,,
2025-11-01,23,Maine,ME,3.2,-0.2,654000,-0.67,,,,
2025-11-01,24,Maryland,MD,4.2,1.1,2826700,-0.38,,,,
2025-11-01,25,Massachusetts,MA,4.7,0.6,3717000,0.05,,,,
2025-11-01,26,Michigan,MI,5,-0.2,4538900,0.9,,,,
2025-11-01,27,Minnesota,MN,4,1,3069300,1.31,,,,
2025-11-01,28,Mississippi,MS,3.8,0.2,1206600,0.84,,,,
2025-11-01,29,Missouri,MO,4,0.4,3054300,1.99,,,,
2025-11-01,30,Montana,MT,3.3,0.4,529800,0.61,,,,
2025-11-01,31,Nebraska,NE,3,0.1,1059100,-0.02,,,,
2025-11-01,32,Nevada,NV,5.2,-0.6,1574700,0.14,,,,
2025-11-01,33,New Hampshire,NH,3,0.2,706100,-0.39,,,,
2025-11-01,34,New Jersey,NJ,5.4,0.8,4396000,0.47,,,,
2025-11-01,35,New Mexico,NM,4.2,-0.2,904900,1.29,,,,
2025-11-01,36,New York,NY,4.5,0.1,9996700,0.89,,,,
2025-11-01,37,North Carolina,NC,3.8,0.1,5119900,1.75,,,,
2025-11-01,38,North Dakota,ND,2.6,0.1,449400,0.4,,,,
2025-11-01,39,Ohio,OH,4.5,0,5705300,0.91,,,,
2025-11-01,40,Oklahoma,OK,3.5,0.2,1806800,1,,,,
2025-11-01,41,Oregon,OR,5.2,0.9,2008200,0.32,,,,
2025-11-01,42,Pennsylvania,PA,4.2,0.5,6258300,1.58,,,,
2025-11-01,44,Rhode Island,RI,4.3,-0.2,513900,-0.1,,,,
2025-11-01,45,South Carolina,SC,4.6,0.2,2424800,2.04,,,,
2025-11-01,46,South Dakota,SD,2.1,0.2,473400,0.72,,,,
2025-11-01,47,Tennessee,TN,3.6,-0.1,3417500,1.03,,,,
2025-11-01,48,Texas,TX,4.2,0,14321000,1.03,,,,
2025-11-01,49,Utah,UT,3.6,0.3,1778600,1.12,,,,
2025-11-01,50,Vermont,VT,2.6,0.1,313700,0.64,,,,
2025-11-01,51,Virginia,VA,3.5,0.6,4268100,0.2,,,,
2025-11-01,54,West Virginia,WV,4.4,0.3,714900,-0.2,,,,
2025-11-01,55,Wisconsin,WI,3.1,0,3045700,-0.08,,,,
2025-11-01,56,Wyoming,WY,3.4,-0.2,295900,0.07,,,,
2025-10-01,01,Alabama,AL,,,2214500,0.85,,,,
2025-10-01,02,Alaska,AK,,,338700,0.06,,,,
2025-10-01,04,Arizona,AZ,,,3262300,1.18,,,,
2025-10-01,05,Arkansas,AR,,,1391900,1.51,,,,
2025-10-01,10,Delaware,DE,,,493300,1.09,,,,
2025-10-01,11,District of Columbia,DC,,,739800,-3.85,,,,
2025-10-01,12,Florida,FL,,,10048200,1.28,,,,
2025-10-01,13,Georgia,GA,,,4986500,0.37,,,,
2025-10-01,15,Hawaii,HI,,,653200,1.94,,,,
2025-10-01,16,Idaho,ID,,,881700,1.46,,,,
2025-10-01,17,Illinois,IL,,,6155300,0.08,,,,
2025-10-01,18,Indiana,IN,,,3290300,0.72,,,,
2025-10-01,19,Iowa,IA,,,1595200,0.31,,,,
2025-10-01,20,Kansas,KS,,,1458900,0.45,,,,
2025-10-01,21,Kentucky,KY,,,2053500,0.85,,,,
2025-10-01,22,Louisiana,LA,,,2003500,0.72,,,,
2025-10-01,23,Maine,ME,,,652700,-1.06,,,,
2025-10-01,24,Maryland,MD,,,2823700,-0.08,,,,
2025-10-01,25,Massachusetts,MA,,,3714600,-0.03,,,,
2025-10-01,26,Michigan,MI,,,4536300,0.98,,,,
2025-10-01,27,Minnesota,MN,,,3065200,1.31,,,,
2025-10-01,28,Mississippi,MS,,,1203100,0.43,,,,
2025-10-01,29,Missouri,MO,,,3048800,1.65,,,,
2025-10-01,30,Montana,MT,,,529900,0.74,,,,
2025-10-01,31,Nebraska,NE,,,1058500,-0.2,,,,
2025-10-01,32,Nevada,NV,,,1572000,-0.01,,,,
2025-10-01,33,New Hampshire,NH,,,708900,0.27,,,,
2025-10-01,34,New Jersey,NJ,,,4397700,0.5,,,,
2025-10-01,35,New Mexico,NM,,,904200,1.62,,,,
2025-10-01,36,New York,NY,,,9979600,0.89,,,,
2025-10-01,37,North Carolina,NC,,,5116600,1.93,,,,
2025-10-01,38,North Dakota,ND,,,448900,0.56,,,,
2025-10-01,39,Ohio,OH,,,5702200,0.87,,,,
2025-10-01,40,Oklahoma,OK,,,1806800,1.21,,,,
2025-10-01,41,Oregon,OR,,,2006600,0.48,,,,
2025-10-01,42,Pennsylvania,PA,,,6254800,1.59,,,,
2025-10-01,44,Rhode Island,RI,,,513700.00000000006,-0.04,,,,
2025-10-01,45,South Carolina,SC,,,2423600,2.33,,,,
2025-10-01,46,South Dakota,SD,,,474700,0.98,,,,
2025-10-01,47,Tennessee,TN,,,3409900,0.85,,,,
2025-10-01,48,Texas,TX,,,14313700,0.94,,,,
2025-10-01,49,Utah,UT,,,1775700,1.06,,,,
2025-10-01,50,Vermont,VT,,,313900,0.67,,,,
2025-10-01,51,Virginia,VA,,,4259500,0.14,,,,
2025-10-01,54,West Virginia,WV,,,715600,-0.01,,,,
2025-10-01,55,Wisconsin,WI,,,3045500,-0.02,,,,
2025-10-01,56,Wyoming,WY,,,296100,,,,,
2025-09-01,01,Alabama,AL,2.8,-0.5,2214900,0.93,,,,
2025-09-01,02,Alaska,AK,4.7,-0.1,338800,1.1,,,,
2025-09-01,04,Arizona,AZ,4.2,0.4,3258100,1.05,,,,
2025-09-01,05,Arkansas,AR,3.9,0.4,1389600,1.6,,,,
2025-09-01,10,Delaware,DE,4.5,0.9,493900,0.53,,,,
2025-09-01,11,District of Columbia,DC,6.2,0.9,758200,-1.3,,,,
2025-09-01,12,Florida,FL,3.9,0.4,10045400,0.66,,,,
2025-09-01,13,Georgia,GA,3.4,-0.2,4990500,0.47,,,,
2025-09-01,15,Hawaii,HI,2.5,-0.5,651900,1.49,,,,
2025-09-01,16,Idaho,ID,3.7,-0.1,882100,1.85,,,,
2025-09-01,17,Illinois,IL,4.4,-0.6,6161400,0.38,,,,
2025-09-01,18,Indiana,IN,3.7,-0.7,3295300,0.73,,,,
2025-09-01,19,Iowa,IA,3.7,0.4,1597000,0.15,,,,
2025-09-01,20,Kansas,KS,3.8,0,1458700,-0.1,,,,
2025-09-01,21,Kentucky,KY,4.7,-0.6,2060300.0000000002,0.91,,,,
2025-09-01,22,Louisiana,LA,4.4,-0.2,2002100,1.01,,,,
2025-09-01,23,Maine,ME,3.2,-0.2,654600,-0.79,,,,
2025-09-01,24,Maryland,MD,3.8,0.6,2837600,0.07,,,,
2025-09-01,25,Massachusetts,MA,4.7,0.5,3710000,-0.22,,,,
2025-09-01,26,Michigan,MI,5.1,0,4533400,0.8,,,,
2025-09-01,27,Minnesota,MN,3.7,0.6,3060400,1.41,,,,
2025-09-01,28,Mississippi,MS,3.8,0.4,1204800,1.18,,,,
2025-09-01,29,Missouri,MO,4.1,0.4,3042200,1.67,,,,
2025-09-01,30,Montana,MT,3,0,529000,0.19,,,,
2025-09-01,31,Nebraska,NE,3,0.1,1061100,0.19,,,,
2025-09-01,32,Nevada,NV,5.3,-0.4,1575800,0.15,,,,
2025-09-01,33,New Hampshire,NH,3,0.3,708900,0.64,,,,
2025-09-01,34,New Jersey,NJ,5.2,0.6,4401300,0.59,,,,
2025-09-01,35,New Mexico,NM,4.1,-0.2,904400,1.8,,,,
2025-09-01,36,New York,NY,4.2,-0.2,9980900,0.73,,,,
2025-09-01,37,North Carolina,NC,3.7,0,5108100,1.61,,,,
2025-09-01,38,North Dakota,ND,2.6,0.1,448500,0.38,,,,
2025-09-01,39,Ohio,OH,4.8,0.4,5721600,1.12,,,,
2025-09-01,40,Oklahoma,OK,3.2,-0.1,1805300,1.4,,,,
2025-09-01,41,Oregon,OR,5.2,1,2008600,0.57,,,,
2025-09-01,42,Pennsylvania,PA,4.1,0.4,6252500,1.62,,,,
2025-09-01,44,Rhode Island,RI,4.5,0,514700.00000000006,0.53,,,,
2025-09-01,45,South Carolina,SC,4.4,-0.1,2421200,2.31,,,,
2025-09-01,46,South Dakota,SD,2,0.2,473200,0.98,,,,
2025-09-01,47,Tennessee,TN,3.6,-0.1,3411000,1.04,,,,
2025-09-01,48,Texas,TX,4.1,-0.1,14335700,1.13,,,,
2025-09-01,49,Utah,UT,3.4,0.1,1779300,1.69,,,,
2025-09-01,50,Vermont,VT,2.5,0,315000,0.93,,,,
2025-09-01,51,Virginia,VA,3.5,0.6,4279600,0.69,,,,
2025-09-01,53,Washington,WA,4.5,0.1,3666500,0.34,,,,
2025-09-01,54,West Virginia,WV,4,-0.1,717300,0.24,,,,
2025-09-01,55,Wisconsin,WI,3.1,0.1,3056000,0.55,,,,
2025-09-01,56,Wyoming,WY,3.3,-0.2,296700,0.61,,,,
2025-08-01,01,Alabama,AL,2.9,-0.2,2215800,1.04,,,,
2025-08-01,02,Alaska,AK,4.7,0,339600,1.65,,,,
2025-08-01,04,Arizona,AZ,4.1,0.4,3254600,1.32,,,,
2025-08-01,05,Arkansas,AR,3.8,0.3,1385400,1.31,,,,
2025-08-01,10,Delaware,DE,4.3,0.6,493600,0.67,,,,
2025-08-01,11,District of Columbia,DC,6,0.7,758200,-1.11,,,,
2025-08-01,12,Florida,FL,3.8,0.4,10045700,0.96,,,,
2025-08-01,13,Georgia,GA,3.4,-0.2,4994600,0.55,,,,
2025-08-01,15,Hawaii,HI,2.7,-0.3,651900,1.94,,,,
2025-08-01,16,Idaho,ID,3.7,0,882200,1.52,,,,
2025-08-01,17,Illinois,IL,4.4,-0.6,6164800,0.28,,,,
2025-08-01,18,Indiana,IN,3.6,-0.8,3290700,0.41,,,,
2025-08-01,19,Iowa,IA,3.8,0.6,1594600,-0.14,,,,
2025-08-01,20,Kansas,KS,3.8,0.1,1458700,-0.25,,,,
2025-08-01,21,Kentucky,KY,4.7,-0.5,2060900,0.91,,,,
2025-08-01,22,Louisiana,LA,4.4,-0.1,2000900,0.88,,,,
2025-08-01,23,Maine,ME,3.2,0,655500,-0.5,,,,
2025-08-01,24,Maryland,MD,3.6,0.4,2848700,0.48,,,,
2025-08-01,25,Massachusetts,MA,4.8,0.6,3720100,0.08,,,,
2025-08-01,26,Michigan,MI,5.2,0.2,4532300,0.95,,,,
2025-08-01,27,Minnesota,MN,3.6,0.4,3053900,1.44,,,,
2025-08-01,28,Mississippi,MS,3.9,0.6,1206600,1.45,,,,
2025-08-01,29,Missouri,MO,4.1,0.4,3022900,1.17,,,,
2025-08-01,30,Montana,MT,2.9,-0.1,529200,0.21,,,,
2025-08-01,31,Nebraska,NE,3,0.1,1063500,0.57,,,,
2025-08-01,32,Nevada,NV,5.3,-0.4,1570500,0.02,,,,
2025-08-01,33,New Hampshire,NH,3,0.4,706800,0.08,,,,
2025-08-01,34,New Jersey,NJ,5,0.4,4390900,0.7,,,,
2025-08-01,35,New Mexico,NM,4.1,-0.2,904500,1.86,,,,
2025-08-01,36,New York,NY,4,-0.4,10009100,1.27,,,,
2025-08-01,37,North Carolina,NC,3.7,0,5096500,1.63,,,,
2025-08-01,38,North Dakota,ND,2.5,0,448100,0.34,,,,
2025-08-01,39,Ohio,OH,5,0.6,5730000,1.35,,,,
2025-08-01,40,Oklahoma,OK,3.1,-0.2,1801900,1.29,,,,
2025-08-01,41,Oregon,OR,5,0.8,2004900,0.48,,,,
2025-08-01,42,Pennsylvania,PA,4,0.4,6247100,1.61,,,,
2025-08-01,44,Rhode Island,RI,4.6,0.1,514299.99999999994,0.45,,,,
2025-08-01,45,South Carolina,SC,4.3,-0.3,2425500,2.98,,,,
2025-08-01,46,South Dakota,SD,1.9,0.1,471000,0.75,,,,
2025-08-01,47,Tennessee,TN,3.6,0,3408300,1.02,,,,
2025-08-01,48,Texas,TX,4.1,-0.1,14339200,1.32,,,,
2025-08-01,49,Utah,UT,3.3,0,1775900,1.79,,,,
2025-08-01,50,Vermont,VT,2.5,0,314600,0.48,,,,
2025-08-01,51,Virginia,VA,3.6,0.7,4283400,1.09,,,,
2025-08-01,53,Washington,WA,4.5,0,3662500,0.56,,,,
2025-08-01,54,West Virginia,WV,3.8,-0.3,719300,0.47,,,,
2025-08-01,55,Wisconsin,WI,3.1,0.1,3066900,0.69,,,,
2025-08-01,56,Wyoming,WY,3.2,-0.2,297100,0.75,,,,
2025-07-01,01,Alabama,AL,3,0,2211900,1.01,,,,
2025-07-01,02,Alaska,AK,4.8,0.1,338200,1.02,,,,
2025-07-01,04,Arizona,AZ,4.1,0.5,3253000,1.16,,,,
2025-07-01,05,Arkansas,AR,3.7,0.3,1383300,1.28,,,,
2025-07-01,10,Delaware,DE,4.1,0.4,493000,0.82,,,,
2025-07-01,11,District of Columbia,DC,6,0.7,763100,-0.68,,,,
2025-07-01,12,Florida,FL,3.7,0.3,10052500,1.18,,,,
2025-07-01,13,Georgia,GA,3.4,-0.2,4997700,0.59,,,,
2025-07-01,15,Hawaii,HI,2.7,-0.3,650800,2.1,,,,
2025-07-01,16,Idaho,ID,3.7,0,881700,1.65,,,,
2025-07-01,17,Illinois,IL,4.6,-0.5,6167000,0.35,,,,
2025-07-01,18,Indiana,IN,3.6,-0.7,3288400,0.99,,,,
2025-07-01,19,Iowa,IA,3.7,0.6,1591000,-0.26,,,,
2025-07-01,20,Kansas,KS,3.8,0.1,1457100,0.08,,,,
2025-07-01,21,Kentucky,KY,4.9,-0.2,2058500,1.01,,,,
2025-07-01,22,Louisiana,LA,4.5,0.2,2002800,1.03,,,,
2025-07-01,23,Maine,ME,3.2,0.1,656900,-0.17,,,,
2025-07-01,24,Maryland,MD,3.4,0.2,2850000,0.41,,,,
2025-07-01,25,Massachusetts,MA,4.8,0.7,3727300,0.29,,,,
2025-07-01,26,Michigan,MI,5.3,0.5,4528800,1.29,,,,
2025-07-01,27,Minnesota,MN,3.5,0.3,3047200,1.29,,,,
2025-07-01,28,Mississippi,MS,3.9,0.8,1202800,1.19,,,,
2025-07-01,29,Missouri,MO,4.1,0.4,3027700,1.6,,,,
2025-07-01,30,Montana,MT,2.8,-0.2,529800,0.21,,,,
2025-07-01,31,Nebraska,NE,3,0.2,1063000,0.55,,,,
2025-07-01,32,Nevada,NV,5.4,-0.2,1573900,0.44,,,,
2025-07-01,33,New Hampshire,NH,3.1,0.5,708700,0.58,,,,
2025-07-01,34,New Jersey,NJ,4.9,0.3,4384300,0.54,,,,
2025-07-01,35,New Mexico,NM,4.2,-0.1,907900,2.56,,,,
2025-07-01,36,New York,NY,4,-0.4,10024700,1.57,,,,
2025-07-01,37,North Carolina,NC,3.7,0.1,5090600,1.58,,,,
2025-07-01,38,North Dakota,ND,2.5,0,449700,0.67,,,,
2025-07-01,39,Ohio,OH,5,0.7,5720300,1.22,,,,
2025-07-01,40,Oklahoma,OK,3.1,-0.2,1801300,1.52,,,,
2025-07-01,41,Oregon,OR,4.9,0.7,2001400,0.49,,,,
2025-07-01,42,Pennsylvania,PA,4,0.4,6236900,1.58,,,,
2025-07-01,44,Rhode Island,RI,4.8,0.4,513200.00000000006,0.33,,,,
2025-07-01,45,South Carolina,SC,4.2,-0.3,2427500,3.28,,,,
2025-07-01,46,South Dakota,SD,1.9,0.1,471900,0.98,,,,
2025-07-01,47,Tennessee,TN,3.6,0.2,3398800,0.77,,,,
2025-07-01,48,Texas,TX,4,-0.1,14330100,1.62,,,,
2025-07-01,49,Utah,UT,3.3,0,1766800,1.54,,,,
2025-07-01,50,Vermont,VT,2.6,0.2,313800,0.61,,,,
2025-07-01,51,Virginia,VA,3.6,0.8,4274400,0.9,,,,
2025-07-01,53,Washington,WA,4.5,0,3672300,0.91,,,,
2025-07-01,54,West Virginia,WV,3.7,-0.4,720100,0.67,,,,
2025-07-01,55,Wisconsin,WI,3.1,0.2,3060100,0.72,,,,
2025-07-01,56,Wyoming,WY,3.3,0,297100,1.4,,,,
2025-06-01,01,Alabama,AL,3.2,0.3,2211100,0.92,,,,
2025-06-01,02,Alaska,AK,4.7,0.1,338300,1.53,,,,
2025-06-01,04,Arizona,AZ,4.1,0.6,3250300,0.36,,,,
2025-06-01,05,Arkansas,AR,3.7,0.3,1379200,1.16,,,,
2025-06-01,10,Delaware,DE,4,0.2,492600,0.82,,,,
2025-06-01,11,District of Columbia,DC,5.9,0.6,763800,-0.75,,,,
2025-06-01,12,Florida,FL,3.7,0.3,10061700,1.43,,,,
2025-06-01,13,Georgia,GA,3.5,-0.1,4996000,0.5,,,,
2025-06-01,15,Hawaii,HI,2.8,-0.1,650900,2.29,,,,
2025-06-01,16,Idaho,ID,3.6,-0.1,881700,2.18,,,,
2025-06-01,17,Illinois,IL,4.6,-0.5,6168100,0.45,,,,
2025-06-01,18,Indiana,IN,3.6,-0.6,3283800,0.82,,,,
2025-06-01,19,Iowa,IA,3.7,0.7,1591200,-0.39,,,,
2025-06-01,20,Kansas,KS,3.8,0.2,1463500,0.45,,,,
2025-06-01,21,Kentucky,KY,4.9,-0.1,2058400,1,,,,
2025-06-01,22,Louisiana,LA,4.5,0.3,2001500,1.15,,,,
2025-06-01,23,Maine,ME,3.3,0.3,657400,0.06,,,,
2025-06-01,24,Maryland,MD,3.3,0.2,2840800,0.41,,,,
2025-06-01,25,Massachusetts,MA,4.8,0.8,3725200,0.08,,,,
2025-06-01,26,Michigan,MI,5.3,0.6,4525700,0.86,,,,
2025-06-01,27,Minnesota,MN,3.3,0.1,3047700,1.21,,,,
2025-06-01,28,Mississippi,MS,4,1.1,1200800,1.27,,,,
2025-06-01,29,Missouri,MO,4,0.2,3012300,0.77,,,,
2025-06-01,30,Montana,MT,2.8,-0.2,528600,-0.13,,,,
2025-06-01,31,Nebraska,NE,3,0.2,1066700,0.84,,,,
2025-06-01,32,Nevada,NV,5.4,-0.2,1573200,0.3,,,,
2025-06-01,33,New Hampshire,NH,3.1,0.6,710300,0.71,,,,
2025-06-01,34,New Jersey,NJ,4.9,0.3,4377900,0.05,,,,
2025-06-01,35,New Mexico,NM,4.2,0,906700,1.97,,,,
2025-06-01,36,New York,NY,4,-0.3,9967800,0.98,,,,
2025-06-01,37,North Carolina,NC,3.7,0.1,5096100,1.54,,,,
2025-06-01,38,North Dakota,ND,2.5,0,450800,0.92,,,,
2025-06-01,39,Ohio,OH,4.9,0.6,5716000,1.13,,,,
2025-06-01,40,Oklahoma,OK,3.1,-0.2,1802800,1.78,,,,
2025-06-01,41,Oregon,OR,4.9,0.8,2001300,0.44,,,,
2025-06-01,42,Pennsylvania,PA,4,0.4,6230100,1.54,,,,
2025-06-01,44,Rhode Island,RI,4.8,0.4,513200.00000000006,-0.08,,,,
2025-06-01,45,South Carolina,SC,4.1,-0.3,2420400,2.92,,,,
2025-06-01,46,South Dakota,SD,1.8,0,472100,1.16,,,,
2025-06-01,47,Tennessee,TN,3.5,0.2,3395300,0.54,,,,
2025-06-01,48,Texas,TX,4,-0.1,14325100,1.37,,,,
2025-06-01,49,Utah,UT,3.2,-0.1,1771100,1.71,,,,
2025-06-01,50,Vermont,VT,2.6,0.3,314100,0.87,,,,
2025-06-01,51,Virginia,VA,3.5,0.7,4271100,0.91,,,,
2025-06-01,53,Washington,WA,4.5,0,3667600,0.74,,,,
2025-06-01,54,West Virginia,WV,3.7,-0.4,720700,0.71,,,,
2025-06-01,55,Wisconsin,WI,3.2,0.3,3056700,0.7,,,,
2025-06-01,56,Wyoming,WY,3.3,0.1,297400,1.36,,,,
2025-05-01,01,Alabama,AL,3.3,0.4,2215600,1.17,,,,
2025-05-01,02,Alaska,AK,4.7,0.2,337300,1.08,,,,
