period_date,fips_code,state_fips,unemployment_rate
2000-01-01,01001,01,4.1
2001-01-01,01001,01,4.1
2002-01-01,01001,01,4.8
2003-01-01,01001,01,5.0
2004-01-01,01001,01,4.7
2005-01-01,01001,01,3.8
2006-01-01,01001,01,3.3
2007-01-01,01001,01,3.4
2008-01-01,01001,01,5.4
2009-01-01,01001,01,8.6
2010-01-01,01001,01,8.8
2011-01-01,01001,01,8.3
2012-01-01,01001,01,7.1
2013-01-01,01001,01,6.3
2014-01-01,01001,01,5.8
2015-01-01,01001,01,5.2
2016-01-01,01001,01,5.1
2017-01-01,01001,01,4.0
2018-01-01,01001,01,3.6
2019-01-01,01001,01,2.9
2020-01-01,01001,01,5.3
2021-01-01,01001,01,2.7
2022-01-01,01001,01,2.2
2023-01-01,01001,01,2.1
2024-01-01,01001,01,2.7
2000-01-01,01003,01,3.7
2001-01-01,01003,01,4.3
2002-01-01,01003,01,5.0
2003-01-01,01003,01,4.9
2004-01-01,01003,01,5.1
2005-01-01,01003,01,4.0
2006-01-01,01003,01,3.2
2007-01-01,01003,01,3.2
2008-01-01,01003,01,4.8
2009-01-01,01003,01,8.6
2010-01-01,01003,01,9.9
2011-01-01,01003,01,8.9
2012-01-01,01003,01,7.7
2013-01-01,01003,01,6.8
2014-01-01,01003,01,6.1
2015-01-01,01003,01,5.5
2016-01-01,01003,01,4.9
2017-01-01,01003,01,3.8
2018-01-01,01003,01,3.3
2019-01-01,01003,01,2.7
2020-01-01,01003,01,5.7
2021-01-01,01003,01,2.7
2022-01-01,01003,01,2.2
2023-01-01,01003,01,2.2
2024-01-01,01003,01,2.7
2000-01-01,01005,01,5.6
2001-01-01,01005,01,7.5
2002-01-01,01005,01,7.7
2003-01-01,01005,01,7.0
2004-01-01,01005,01,7.1
2005-01-01,01005,01,5.8
2006-01-01,01005,01,5.7
2007-01-01,01005,01,6.4
2008-01-01,01005,01,9.2
2009-01-01,01005,01,12.7
2010-01-01,01005,01,12.1
2011-01-01,01005,01,11.4
2012-01-01,01005,01,11.8
2013-01-01,01005,01,10.4
2014-01-01,01005,01,10.5
2015-01-01,01005,01,8.9
2016-01-01,01005,01,7.5
2017-01-01,01005,01,5.4
