period_date,cbsa_code,total_nonfarm_employment,employment_yoy
2016-03-01,10180,52832,
2016-06-01,10180,52938,
2016-09-01,10180,53165,
2016-12-01,10180,53216,
2017-03-01,10180,53355,
2017-06-01,10180,53662,1.37
2017-09-01,10180,54141,1.84
2017-12-01,10180,54636,2.67
2018-03-01,10180,54702,2.52
2018-06-01,10180,55562,3.54
2018-09-01,10180,55364,2.26
2018-12-01,10180,56072,2.63
2019-03-01,10180,56295,2.91
2019-06-01,10180,57190,2.93
2019-09-01,10180,58053,4.86
2019-12-01,10180,58696,4.68
2020-03-01,10180,57654,
2020-06-01,10180,53834,-5.87
2020-09-01,10180,54893,-5.44
2020-12-01,10180,56621,-3.54
2021-03-01,10180,56149,
2021-06-01,10180,56588,5.12
2021-09-01,10180,57193,4.19
2021-12-01,10180,58651,3.59
2022-03-01,10180,58858,4.82
2022-06-01,10180,59021,4.3
2022-09-01,10180,60151,5.17
2022-12-01,10180,60982,3.97
2023-03-01,10180,60408,2.63
2023-06-01,10180,60847,3.09
2023-09-01,10180,61141,1.65
2023-12-01,10180,61228,0.4
2024-03-01,10180,61173,
2024-06-01,10180,61749,1.48
2024-09-01,10180,62323,1.93
2024-12-01,10180,62056,1.35
2025-03-01,10180,61676,
2025-06-01,10180,61468,-0.46
2016-03-01,10380,35946,
2016-06-01,10380,35531,
2016-09-01,10380,35923,
2016-12-01,10380,37732,
2017-03-01,10380,37064,
2017-06-01,10380,37258,4.86
2017-09-01,10380,36191,0.75
2017-12-01,10380,36279,-3.85
2018-03-01,10380,36558,-1.37
2018-06-01,10380,37298,0.11
2018-09-01,10380,37367,3.25
2018-12-01,10380,38588,6.36
2019-03-01,10380,37926,3.74
2019-06-01,10380,37606,0.83
2019-09-01,10380,38045,1.81
2019-12-01,10380,39492,2.34
2020-03-01,10380,38591,
2020-06-01,10380,34569,-8.08
2020-09-01,10380,36231,-4.77
2020-12-01,10380,38346,-2.9
2021-03-01,10380,38078,
2021-06-01,10380,39692,14.82
2021-09-01,10380,41031,13.25
2021-12-01,10380,43506,13.46
2022-03-01,10380,43713,14.8
2022-06-01,10380,44377,11.8
2022-09-01,10380,44347,8.08
2022-12-01,10380,46611,7.14
2023-03-01,10380,44866,2.64
2023-06-01,10380,45356,2.21
2023-09-01,10380,45806,3.29
2023-12-01,10380,47560,2.04
2024-03-01,10380,42126,
2024-06-01,10380,41601,-8.28
2024-09-01,10380,41594,-9.2
2024-12-01,10380,42973,-9.64
2025-03-01,10380,42035,
2025-06-01,10380,41730,0.31
2016-03-01,10420,275916,
2016-06-01,10420,284182,
2016-09-01,10420,284135,
2016-12-01,10420,283361,
2017-03-01,10420,277062,
2017-06-01,10420,286372,0.77
2017-09-01,10420,284667,0.19
2017-12-01,10420,284232,0.31
2018-03-01,10420,277727,0.24
2018-06-01,10420,286265,-0.04
2018-09-01,10420,283735,-0.33
2018-12-01,10420,284320,0.03
2019-03-01,10420,278636,0.33
2019-06-01,10420,286509,0.09
2019-09-01,10420,283363,-0.13
2019-12-01,10420,286312,0.7
2020-03-01,10420,278656,
2020-06-01,10420,262169,-8.5
2020-09-01,10420,266320,-6.01
2020-12-01,10420,268647,-6.17
2021-03-01,10420,264984,
2021-06-01,10420,273059,4.15
2021-09-01,10420,269297,1.12
2021-12-01,10420,274313,2.11
2022-03-01,10420,269084,1.55
2022-06-01,10420,278618,2.04
2022-09-01,10420,278535,3.43
2022-12-01,10420,280069,2.1
2023-03-01,10420,277371,3.08
2023-06-01,10420,283805,1.86
