year,cbsa_code,cbsa_title,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income
2023,10100,"Aberdeen, SD Micro Area",42112,38.2,70761,39977,19901,12039,5914,67.06,208200,796,22.8
2023,10140,"Aberdeen, WA Micro Area",76397,44.7,63539,33763,36568,21770,8212,72.61,279500,1018,28.1
2023,10180,"Abilene, TX Metro Area",178244,34.4,66464,32292,75164,41670,23985,63.47,172800,1095,29.5
2023,10220,"Ada, OK Micro Area",38158,37.5,62564,32176,17483,9949,5025,66.44,170500,880,24.6
2023,10300,"Adrian, MI Micro Area",98823,42.2,67013,33914,43747,30517,8290,78.64,181100,965,29.4
2023,10380,"Aguadilla, PR Metro Area",252430,45.2,20800,13383,122332,60272,30567,66.35,120000,506,29.0
2023,10420,"Akron, OH Metro Area",699508,40.8,71312,41893,318279,199715,94348,67.92,199000,1005,29.4
2023,10460,"Alamogordo, NM Micro Area",68235,36.3,52717,28186,32400,15794,8491,65.04,149500,926,28.4
2023,10480,"Alamosa, CO Micro Area",27622,36.0,48011,29009,13624,7260,3996,64.50,191800,874,28.4
2023,10500,"Albany, GA Metro Area",146768,38.2,54219,29495,67030,32361,25110,56.31,148800,922,30.4
2023,10540,"Albany, OR Metro Area",129794,40.2,73396,34422,52740,33881,16653,67.05,344600,1273,29.8
2023,10580,"Albany-Schenectady-Troy, NY Metro Area",902372,40.5,86072,47155,420069,241774,135785,64.04,268400,1230,28.1
2023,10620,"Albemarle, NC Micro Area",63557,40.6,61631,31623,28292,17997,6439,73.65,214300,830,25.1
2023,10660,"Albert Lea, MN Micro Area",30752,43.9,69012,38696,14116,10221,2664,79.32,164900,837,26.9
2023,10700,"Albertville, AL Micro Area",98712,38.6,60946,31025,41531,27144,8819,75.48,183400,765,27.1
2023,10740,"Albuquerque, NM Metro Area",918567,39.6,67995,38300,398671,255568,116338,68.72,263500,1102,30.8
2023,10760,"Alexander City, AL Micro Area",41070,45.4,57185,31718,22967,12511,4037,75.60,144800,734,25.4
2023,10780,"Alexandria, LA Metro Area",150593,37.9,56492,30898,67375,37678,18177,67.46,173600,935,30.9
2023,10820,"Alexandria, MN Micro Area",39354,44.3,77264,43543,22087,13312,4104,76.44,291700,896,24.6
2023,10860,"Alice, TX Micro Area",45850,35.7,45939,25450,20063,10504,5678,64.91,99300,834,32.8
2023,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",866764,41.4,82602,43319,360133,234260,102717,69.52,277800,1309,30.7
2023,10940,"Alma, MI Micro Area",41478,39.7,61128,29558,16051,11442,3069,78.85,136800,808,30.2
2023,10980,"Alpena, MI Micro Area",28908,47.6,51909,33093,15674,10114,2620,79.43,137800,660,28.8
2023,11020,"Altoona, PA Metro Area",121854,42.9,60594,34593,55788,36621,13927,72.45,156700,854,29.5
2023,11060,"Altus, OK Micro Area",24730,35.0,61497,32371,12046,5992,3786,61.28,145000,865,23.7
2023,11100,"Amarillo, TX Metro Area",270207,36.3,66571,35425,114741,65087,36721,63.93,196500,1044,27.8
2023,11140,"Americus, GA Micro Area",33713,37.8,42821,25212,15484,7249,5226,58.11,126500,841,29.6
2023,11180,"Ames, IA Metro Area",125261,30.0,71090,38602,53647,30531,19112,61.50,231600,1002,29.7
2023,11200,"Amherst Town-Northampton, MA Metro Area",156595,38.7,86391,45006,66490,42489,19281,68.79,363400,1332,31.4
2023,11220,"Amsterdam, NY Micro Area",49461,40.1,62923,31975,22944,13336,5898,69.34,141600,921,30.0
2023,11260,"Anchorage, AK Metro Area",399746,35.4,95918,47015,170639,99162,48388,67.21,358900,1422,29.5
2023,11360,"Anderson Creek, NC Micro Area",136503,35.4,69012,31382,54051,33801,14838,69.49,220700,1080,26.9
2023,11380,"Andrews, TX Micro Area",18518,33.1,76902,36935,7063,5173,1607,76.30,188200,1364,21.3
2023,11420,"Angola, IN Micro Area",34648,43.6,71483,37126,19055,11037,2728,80.18,204300,921,24.0
2023,11460,"Ann Arbor, MI Metro Area",368394,34.8,87156,51746,158115,91988,57268,61.63,353000,1400,32.5
2023,11500,"Anniston-Oxford, AL Metro Area",116141,39.0,55826,29571,53271,31762,13363,70.39,149500,804,27.9
2023,11540,"Appleton, WI Metro Area",244163,39.3,83919,44998,102063,72333,25881,73.65,246000,999,23.8
2023,11580,"Arcadia, FL Micro Area",34719,42.8,50868,24462,15713,9025,3631,71.31,151500,910,30.5
2023,11620,"Ardmore, OK Micro Area",48255,38.3,58856,32628,21619,12779,6108,67.66,153500,945,24.9
2023,11640,"Arecibo, PR Metro Area",181380,45.0,24436,14279,83248,44643,20674,68.35,111700,535,28.1
2023,11660,"Arkadelphia, AR Micro Area",21378,31.9,50985,26153,10012,5014,3133,61.54,147100,734,27.7
2023,11680,"Arkansas City-Winfield, KS Micro Area",34487,38.1,58263,31072,15647,9400,3939,70.47,111600,779,29.3
2023,11700,"Asheville, NC Metro Area",410817,43.8,69236,39959,200730,110126,51368,68.19,338400,1223,30.7
2023,11740,"Ashland, OH Micro Area",52296,41.4,64991,32097,22517,16291,4363,78.88,175900,841,24.6
2023,11820,"Astoria, OR Micro Area",41343,45.2,68705,40991,23251,11160,6935,61.67,437800,1130,29.7
2023,11860,"Atchison, KS Micro Area",16211,36.4,62164,29910,6811,4315,1561,73.43,147900,756,24.4
2023,11900,"Athens, OH Micro Area",61573,32.8,53837,29474,26466,14071,8651,61.93,173800,903,33.9
2023,11940,"Athens, TN Micro Area",67211,43.0,59361,30577,30191,20108,6642,75.17,189200,806,26.1
2023,11980,"Athens, TX Micro Area",83658,43.8,63955,33734,41352,24939,7658,76.51,189600,978,30.4
2023,12020,"Athens-Clarke County, GA Metro Area",218190,33.2,62897,36105,91118,46861,38158,55.12,280900,1144,34.4
2023,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",6176937,37.0,86338,44798,2462125,1500707,780040,65.80,335100,1563,31.6
2023,12100,"Atlantic City-Hammonton, NJ Metro Area",369940,44.4,80600,44763,231727,108926,44155,71.16,302600,1328,32.9
2023,12140,"Auburn, IN Micro Area",43584,38.4,70080,34026,18280,13994,3014,82.28,177900,828,25.4
2023,12180,"Auburn, NY Micro Area",75464,43.7,66583,36547,36768,22533,8801,71.91,164200,895,29.4
2023,12220,"Auburn-Opelika, AL Metro Area",196614,33.8,58991,33549,87173,49293,25802,65.64,224600,974,34.8
2023,12260,"Augusta-Richmond County, GA-SC Metro Area",618022,38.2,66628,35233,268250,154034,71557,68.28,207300,1075,31.5
2023,12300,"Augusta-Waterville, ME Micro Area",125614,44.0,65062,37344,63140,39242,14694,72.76,219900,952,29.0
2023,12380,"Austin, MN Micro Area",40069,38.9,71495,35609,16963,11840,3730,76.04,172000,848,27.2
2023,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2357497,35.9,97638,53550,1001295,558660,389989,58.89,434800,1646,29.4
2023,12460,"Bainbridge, GA Micro Area",29118,38.7,50485,26544,13106,6478,3996,61.85,146200,860,27.6
2023,12520,"Baker City, OR Micro Area",16796,47.6,57844,35829,8687,5286,1977,72.78,247700,814,26.1
2023,12540,"Bakersfield-Delano, CA Metro Area",910433,32.4,67660,29238,304481,168321,113095,59.81,310600,1220,33.2
2023,12580,"Baltimore-Columbia-Towson, MD Metro Area",2839409,38.9,97300,51146,1195538,740925,366897,66.88,373300,1562,30.7
2023,12620,"Bangor, ME Metro Area",153571,42.5,63248,36736,75405,45520,19249,70.28,193800,997,29.2
2023,12660,"Baraboo, WI Micro Area",65759,41.3,77648,39770,31091,20054,7371,73.12,242400,970,26.1
2023,12700,"Barnstable Town, MA Metro Area",230073,55.1,94452,60325,165661,82954,20027,80.55,575900,1596,34.5
2023,12740,"Barre, VT Micro Area",59958,43.7,79853,45017,30860,18611,6863,73.06,293900,1094,28.3
2023,12780,"Bartlesville, OK Micro Area",52895,39.4,61205,34969,23745,14793,5803,71.82,160900,903,30.0
2023,12860,"Batavia, NY Micro Area",57943,42.4,72055,36737,26090,18381,6388,74.21,157800,909,27.3
2023,12900,"Batesville, AR Micro Area",38120,39.0,56009,30007,16740,9816,4699,67.63,120500,814,26.3
2023,12940,"Baton Rouge, LA Metro Area",871379,36.0,68910,36908,380325,225509,100636,69.14,232300,1108,32.3
2023,12980,"Battle Creek, MI Metro Area",133846,40.2,60385,33239,59626,38691,14740,72.41,151500,937,29.1
2023,13020,"Bay City, MI Metro Area",103235,43.8,60523,34858,48620,34299,10618,76.36,135100,809,27.9
2023,13060,"Bay City, TX Micro Area",36274,37.5,55174,30189,18871,10191,4633,68.75,162200,998,33.8
2023,13100,"Beatrice, NE Micro Area",21646,42.8,64426,35827,10390,6622,2540,72.28,167100,770,25.7
2023,13140,"Beaumont-Port Arthur, TX Metro Area",396058,37.6,65245,33540,171718,99748,47495,67.74,164300,1063,29.8
2023,13180,"Beaver Dam, WI Micro Area",88818,42.9,73992,37295,38290,25456,10267,71.26,218400,963,23.0
2023,13220,"Beckley, WV Metro Area",113653,43.3,52345,28109,53771,33888,11283,75.02,123400,820,31.0
2023,13260,"Bedford, IN Micro Area",45077,43.5,65551,33401,20530,15321,3835,79.98,164500,800,27.7
2023,13300,"Beeville, TX Micro Area",31000,35.8,56075,22771,10607,6188,2393,72.11,102800,1028,30.5
2023,13340,"Bellefontaine, OH Micro Area",46140,42.1,69183,37613,23797,15193,4365,77.68,186200,832,24.4
2023,13380,"Bellingham, WA Metro Area",228432,38.2,80989,43463,101928,58708,33703,63.53,536100,1465,34.6
2023,13420,"Bemidji, MN Micro Area",46421,35.1,67257,34429,21583,12441,5467,69.47,222300,991,26.2
2023,13460,"Bend, OR Metro Area",253650,42.9,85509,47549,119043,73093,29410,71.31,550400,1583,29.9
2023,13540,"Bennington, VT Micro Area",37312,46.6,71494,43214,20877,11074,3562,75.66,257400,1063,35.7
2023,13660,"Big Rapids, MI Micro Area",40321,40.6,57774,28744,21045,12383,3929,75.91,169900,867,31.6
2023,13700,"Big Spring, TX Micro Area",33127,37.0,71457,34587,13999,8186,3741,68.63,150300,993,25.8
2023,13740,"Billings, MT Metro Area",187269,39.7,74599,43176,84451,54632,23225,70.17,322700,1072,28.7
2023,13780,"Binghamton, NY Metro Area",245844,40.4,63347,36298,114855,68621,33374,67.28,146700,914,30.4
2023,13820,"Birmingham, AL Metro Area",1181432,39.0,69627,39288,522829,325240,135507,70.59,226200,1114,30.6
2023,13860,"Bishop, CA Micro Area",18803,45.6,72432,40569,9500,5316,2607,67.10,338400,1140,22.5
2023,13900,"Bismarck, ND Metro Area",134286,38.0,83982,44938,59633,39719,14898,72.72,295500,1008,25.0
2023,13940,"Blackfoot, ID Micro Area",48993,34.8,76842,31676,17268,12909,3100,80.64,258000,845,26.3
2023,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",181605,34.9,64627,34816,81987,43753,26282,62.47,228400,1075,29.3
2023,14010,"Bloomington, IL Metro Area",170882,34.2,78329,42362,75120,45046,24026,65.22,198300,992,26.9
2023,14020,"Bloomington, IN Metro Area",161256,33.2,62949,36386,74718,38900,27962,58.18,242800,1137,35.0
2023,14100,"Bloomsburg-Berwick, PA Micro Area",65055,41.4,61992,32432,29775,18222,7652,70.43,199200,904,27.8
2023,14140,"Bluefield, WV-VA Micro Area",98995,44.0,46906,28364,49162,28677,11687,71.05,117500,781,29.6
2023,14180,"Blytheville, AR Micro Area",39749,36.9,53428,30350,19126,9140,6241,59.42,115800,797,25.0
2023,14220,"Bogalusa, LA Micro Area",45238,41.0,42776,25520,21422,12247,5404,69.38,139400,772,34.2
2023,14260,"Boise City, ID Metro Area",790640,37.4,82694,41793,308834,214359,80383,72.73,434400,1383,28.7
2023,14300,"Bonham, TX Micro Area",36525,40.7,68377,34865,14743,9658,3135,75.49,213500,994,25.2
2023,14380,"Boone, NC Micro Area",54607,32.2,51367,32631,33028,12962,8225,61.18,321500,1066,47.1
2023,14420,"Borger, TX Micro Area",20413,38.1,65470,31917,10175,5618,1326,80.90,102200,852,26.0
2023,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4917661,39.3,112484,61389,2046121,1189120,736354,61.76,610900,1940,30.2
2023,14500,"Boulder, CO Metro Area",328317,37.5,102772,60272,142809,84461,50769,62.46,713900,1893,34.8
2023,14540,"Bowling Green, KY Metro Area",183194,35.6,62437,33295,79695,44208,27368,61.76,219400,936,28.3
2023,14580,"Bozeman, MT Metro Area",122194,33.8,87454,51148,55589,30780,19251,61.52,604900,1574,29.4
2023,14620,"Bradford, PA Micro Area",40149,43.8,61705,32353,19493,12753,3451,78.70,98700,769,26.8
2023,14660,"Brainerd, MN Micro Area",97801,46.7,69311,39104,66485,33106,8440,79.69,270500,949,27.6
2023,14700,"Branson, MO Micro Area",56382,42.0,58258,31125,29875,14816,7329,66.90,203800,925,26.7
2023,14710,"Brattleboro, VT Micro Area",45913,47.3,68021,42142,30104,14306,5354,72.77,265100,1056,29.9
2023,14720,"Breckenridge, CO Micro Area",38268,38.8,102233,56468,35882,10796,4510,70.53,706800,1798,27.3
2023,14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",276581,39.9,98546,50367,115329,75245,32019,70.15,505700,1741,31.1
2023,14780,"Brenham, TX Micro Area",36156,40.9,75085,41902,17371,11171,4106,73.12,270100,1091,28.5
2023,14820,"Brevard, NC Micro Area",33243,51.9,64523,38899,19147,10961,3629,75.13,336100,909,28.8
2023,14860,"Bridgeport-Stamford-Danbury, CT Metro Area",947528,41.0,111656,69642,375786,231122,119492,65.92,530800,1827,32.0
2023,14940,"Brigham City, UT-ID Micro Area",64406,33.4,77315,31676,22342,16184,4898,76.77,344200,1027,26.5
2023,15020,"Brookhaven, MS Micro Area",34830,41.2,48316,26925,15885,9614,3412,73.81,131800,754,27.6
2023,15060,"Brookings, OR Micro Area",23463,57.2,64769,40421,13123,8443,2837,74.85,366700,1156,30.9
2023,15100,"Brookings, SD Micro Area",34968,28.0,67341,34769,15025,7941,5549,58.87,246300,874,24.0
2023,15180,"Brownsville-Harlingen, TX Metro Area",423192,32.4,51334,23142,157565,88354,47081,65.24,120000,899,30.1
2023,15220,"Brownwood, TX Micro Area",38294,41.4,55305,31827,19087,10209,4770,68.16,149900,887,31.9
2023,15260,"Brunswick-St. Simons, GA Metro Area",114345,43.6,64819,37419,57961,32331,13906,69.92,221400,1003,27.7
2023,15340,"Bucyrus, OH Micro Area",41767,43.3,55477,31729,19844,12864,5256,70.99,123600,761,27.6
2023,15380,"Buffalo-Cheektowaga, NY Metro Area",1161385,40.7,70572,40894,540322,332389,167815,66.45,209600,1005,30.0
2023,15420,"Burley, ID Micro Area",47087,33.5,68214,31156,17470,11455,4597,71.36,244500,916,25.9
2023,15460,"Burlington, IA-IL Micro Area",44881,43.0,61453,35758,22152,14772,5078,74.42,129200,902,32.5
2023,15500,"Burlington, NC Metro Area",174286,38.7,64445,33281,75456,44903,23538,65.61,221200,1007,28.1
2023,15540,"Burlington-South Burlington, VT Metro Area",226603,38.3,90911,47949,102176,62857,30269,67.50,370400,1531,31.4
2023,15580,"Butte-Silver Bow, MT Micro Area",35589,40.3,57504,34925,17396,10818,4529,70.49,223500,810,29.8
2023,15620,"Cadillac, MI Micro Area",49024,42.3,62833,31724,25208,15738,3440,82.06,161400,866,29.2
2023,15660,"Calhoun, GA Micro Area",58336,38.8,61997,31642,23210,15128,5713,72.59,205600,872,28.4
2023,15700,"Cambridge, MD Micro Area",32612,43.9,60495,34780,16416,8837,4487,66.32,252300,959,30.3
2023,15740,"Cambridge, OH Micro Area",38283,42.7,55756,32089,19024,11639,4608,71.64,154100,803,30.2
2023,15780,"Camden, AR Micro Area",27034,44.1,52267,26325,14338,7485,2689,73.57,98700,720,27.6
2023,15820,"Campbellsville, KY Micro Area",37483,39.8,55929,27488,16498,10151,4288,70.30,152900,677,25.6
2023,15860,"Cañon City, CO Micro Area",49394,44.9,61027,30201,20449,13475,4220,76.15,282100,1036,26.4
2023,15900,"Canton, IL Micro Area",33259,43.7,58617,33706,15883,10831,3071,77.91,102500,808,26.6
2023,15940,"Canton-Massillon, OH Metro Area",400495,42.1,65666,35777,180916,115482,51360,69.22,177400,873,26.7
2023,15980,"Cape Coral-Fort Myers, FL Metro Area",792692,49.3,73099,43365,430243,236433,83155,73.98,326300,1597,34.4
2023,16020,"Cape Girardeau, MO-IL Metro Area",97813,38.1,67267,34373,43903,25994,12263,67.95,195200,864,28.1
2023,16060,"Carbondale, IL Micro Area",52706,32.9,45572,30227,27750,11388,11700,49.32,125000,746,30.9
2023,16100,"Carlsbad-Artesia, NM Micro Area",61114,35.9,79605,37698,26633,17354,5891,74.66,199400,1183,25.0
2023,16140,"Carroll, IA Micro Area",20677,41.8,68528,37672,9508,6563,2187,75.01,175700,722,26.0
2023,16180,"Carson City, NV Metro Area",58364,42.1,71809,38222,24902,14950,8702,63.21,426700,1172,29.8
2023,16220,"Casper, WY Metro Area",79735,38.2,71247,40978,37101,24487,8798,73.57,260400,973,27.9
2023,16260,"Cedar City, UT Micro Area",60201,29.9,65527,28886,22824,13255,6403,67.43,342900,1008,28.7
2023,16300,"Cedar Rapids, IA Metro Area",275960,39.3,77084,41820,121966,84748,28523,74.82,202100,899,27.2
2023,16340,"Cedartown, GA Micro Area",43365,38.5,55308,27807,17301,10053,5535,64.49,163500,870,31.1
2023,16380,"Celina, OH Micro Area",42438,39.1,78036,35087,18023,12965,3313,79.65,208600,812,23.4
2023,16460,"Centralia, IL Micro Area",37294,41.3,60839,32199,17379,11514,3951,74.45,100100,771,26.6
